dataset,DOI,AuthorYear,Publication.Year,globalCitationsCount,location,SDG_theme,classification_type,model_group,ancillary,indices,RS_device_type,RS_devices,RS_device_group,RS_spectral_bands_no,RS_spatital_resolution_m,Confusion_matrix,OA_reported,number_classes,fraction_majority_class,total,no_band_group,RS_spatital_res_grouped,esid,event
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,NA,China,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Not Used,Passive,aerial photographic images,Other,Not Reported,0.2,Not Reported,0.9631,2,0.86,75782016,Not Reported,<1 metre,4,72985659.61
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,NA,China,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Not Used,Passive,aerial photographic images,Other,Not Reported,0.2,Not Reported,0.9509,2,0.86,75782016,Not Reported,<1 metre,5,72061119.01
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,NA,China,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Not Used,Passive,aerial photographic images,Other,Not Reported,0.2,Not Reported,0.9613,2,0.86,75782016,Not Reported,<1 metre,6,72849251.98
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,NA,China,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Not Used,Passive,aerial photographic images,Other,Not Reported,0.2,Not Reported,0.9765,2,0.86,75782016,Not Reported,<1 metre,7,74001138.62
nina_2024,10.1080/17538947.2022.2130461,Owers et al. 2022,2022,3,Australia,SDG15: Life on Land,Object-level,Tree-Based Models,Remote Sensing Only,Used,Passive,satellite,Landsat,8,25,Reported,0.8,6,0.608673426,11737,Mid,10-30 metres,1,9389.6
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.9996,2,0.987459807,3110,Not Reported,Not Reported,1,3108.756
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.9955,2,0.990353698,3110,Not Reported,Not Reported,2,3096.005
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.975562701,2,0.993247588,3110,Not Reported,Not Reported,3,3034
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.997427653,2,0.995176849,3110,Not Reported,Not Reported,4,3102
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.996784566,2,0.993890675,3110,Not Reported,Not Reported,5,3100
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.998713826,2,0.993890675,3110,Not Reported,Not Reported,6,3106
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.997749196,2,0.993890675,3110,Not Reported,Not Reported,7,3103
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.997427653,2,0.993890675,3110,Not Reported,Not Reported,8,3102
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Pakistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,1,2,0.993890675,3110,Not Reported,Not Reported,9,3110
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.997768853,2,0.990629183,4482,Not Reported,Not Reported,10,4472
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.997768853,2,0.974788041,4482,Not Reported,Not Reported,11,4472
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.998438197,2,0.987282463,4482,Not Reported,Not Reported,12,4475
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.995537706,2,0.99286033,4482,Not Reported,Not Reported,13,4462
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.99665328,2,0.994403403,4482,Not Reported,Not Reported,14,4467
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.998884427,2,0.991075413,4482,Not Reported,Not Reported,15,4477
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.999776736,2,0.991739228,4479,Not Reported,Not Reported,16,4478
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.999553771,2,0.991075413,4482,Not Reported,Not Reported,17,4480
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,India,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,1,2,0.991075413,4482,Not Reported,Not Reported,18,4482
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.796340493,2,0.975735879,5028,Not Reported,Not Reported,19,4004
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.748579545,2,0.971117424,4224,Not Reported,Not Reported,20,3162
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.923058712,2,0.971117424,4224,Not Reported,Not Reported,21,3899
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.973011364,2,0.971117424,4224,Not Reported,Not Reported,22,4110
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.985795455,2,0.985795455,4224,Not Reported,Not Reported,23,4164
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.982481061,2,0.971117424,4224,Not Reported,Not Reported,24,4150
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.993607955,2,0.971117424,4224,Not Reported,Not Reported,25,4197
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.990416866,2,0.970771442,4174,Not Reported,Not Reported,26,4134
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,10,Afghanistan,SDG11: Sustainable Cities,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Other,Not Reported,Not Reported,Reported,0.984375,2,0.986531987,4224,Not Reported,Not Reported,27,4158
